美食特产,1,172,316,0.5443,12.31,20.07,0.6134
闽菜,1,216,272,0.7941,11.94,15.55,0.7678
上海本帮菜,1,226,262,0.8626,11.6,14.5,0.8
其它烧烤,1,115,373,0.3083,25.17,20.84,0.828
自助餐,3,228.6667,259.3333,0.8817,51.9767,44.3333,0.8529
香锅/烤鱼,1,232,256,0.9063,25.14,21.45,0.8532
砂锅/煲类/炖菜,4,198.25,289.75,0.6842,77.08,67.115,0.8707
咖啡,6,196.1667,291.8333,0.6722,35.2433,30.8283,0.8747
咖啡厅,2,165,323,0.5108,35.66,31.23,0.8758
川味/重庆火锅,13,187.7692,300.2308,0.6254,51.1954,45.2831,0.8845
海鲜,3,148,340,0.4353,36.7,41.1,0.8929
西北菜,6,218.3333,269.6667,0.8096,54.3333,48.6133,0.8947
西餐,19,209.8421,278.1579,0.7544,51.7916,47.1984,0.9113
熟食,4,214,274,0.781,38.8875,35.5625,0.9145
零食,22,218.8182,269.1818,0.8129,42.2586,38.7005,0.9158
粥,3,225.6667,262.3333,0.8602,33.7433,31.1367,0.9228
其他餐饮美食,7,204,284,0.7183,64.2429,59.5543,0.927
饮品/甜点,67,197.194,290.806,0.6781,64.9054,69.9036,0.9285
中式烧烤,8,225.75,262.25,0.8608,42.88,39.8525,0.9294
其它烘焙糕点,12,189.5833,298.4167,0.6353,46.6675,43.3733,0.9294
其它小吃,87,203.4023,284.5977,0.7147,45.9418,42.9179,0.9342
其它地方菜,20,174.4,313.6,0.5561,31.898,29.8425,0.9356
生鲜水果,111,221.1351,266.8649,0.8286,52.7559,56.2577,0.9378
面点,50,215.72,272.28,0.7923,45.9678,43.3896,0.9439
湖北菜,2,195,293,0.6655,11.08,11.72,0.9454
日韩料理,15,205.8,282.2,0.7293,37.702,35.6473,0.9455
粤菜,12,222.3333,265.6667,0.8369,53.99,56.9392,0.9482
东北菜,3,240.6667,247.3333,0.973,35.92,34.2567,0.9537
川菜,13,203.6923,284.3077,0.7165,48.0831,45.8608,0.9538
其它快餐,14,209.1429,278.8571,0.75,36.2007,34.5736,0.9551
台湾菜,2,224,264,0.8485,26.29,27.5,0.956
冰激凌,10,185.5,302.5,0.6132,37.693,39.259,0.9601
其它火锅,11,180.9091,307.0909,0.5891,39.8727,38.4055,0.9632
湘菜,1,195,293,0.6655,18.72,18.09,0.9663
米粉/米线,15,209.4667,278.5333,0.752,37.4647,36.3373,0.9699
麻辣烫/串串香,9,223.8889,264.1111,0.8477,25.3756,24.6733,0.9723
奶茶,92,210.1739,277.8261,0.7565,47.1238,48.2725,0.9762
面包,71,201.8169,286.1831,0.7052,55.8706,54.8242,0.9813
蛋糕,39,216.8718,271.1282,0.7999,67.1974,65.9777,0.9818
江浙菜,13,222.6923,265.3077,0.8394,44.4915,45.1023,0.9865
其它休闲食品,16,213.4375,274.5625,0.7774,49.7919,49.2206,0.9885
西式快餐,405,192.8469,295.1531,0.6534,102.3037,102.5533,0.9976
,585,199.6444,288.3556,0.6924,86.9968,86.7884,0.9976
中式快餐,220,201.2409,286.7591,0.7018,52.3422,52.4223,0.9985
