1526,南京,美食,烘焙糕点,面包,172,316,0.5443,6.78,20.83,0.3255,0.3255
222,南昌,美食,休闲食品,零食,195,293,0.6655,5.64,14.29,0.3947,0.3947
1808,漳州,美食,小吃,面点,237,251,0.9442,7.21,14.79,0.4875,0.4875
1799,温州,美食,休闲食品,生鲜水果,248,240,0.9677,16.55,33.56,0.4931,0.4931
132,柳州,美食,快餐,西式快餐,229,259,0.8842,14.03,28.3,0.4958,0.4958
1336,金华,超市便利店,便利店,,222,266,0.8346,7.59,15.3,0.4961,0.4961
735,南宁,美食,小吃,米粉/米线,230,258,0.8915,6.95,13.24,0.5249,0.5249
474,杭州,美食,休闲食品,生鲜水果,254,234,0.9213,9.23,17.53,0.5265,0.5265
725,金华,美食,休闲茶饮,饮品/甜点,222,266,0.8346,16.85,31.97,0.5271,0.5271
3,南昌,美食,休闲茶饮,奶茶,195,293,0.6655,13.97,26.43,0.5286,0.5286
793,德阳,超市便利店,超市,,188,300,0.6267,7.63,13.99,0.5454,0.5454
1439,南京,美食,休闲食品,生鲜水果,172,316,0.5443,13.28,24.25,0.5476,0.5476
275,广州,美食,休闲食品,生鲜水果,216,272,0.7941,47.81,86.83,0.5506,0.5506
842,上海,美食,快餐,西式快餐,226,262,0.8626,7.36,13.36,0.5509,0.5509
1058,南昌,美食,休闲茶饮,冰激凌,195,293,0.6655,28.87,51.43,0.5613,0.5613
1046,青岛,超市便利店,便利店,,105,383,0.2742,7.16,12.26,0.584,0.5840
1331,上海,美食,其他美食,日韩料理,226,262,0.8626,8.69,14.83,0.586,0.5860
1996,南宁,美食,快餐,中式快餐,230,258,0.8915,10.93,18.6,0.5876,0.5876
1514,温州,美食,小吃,其它小吃,248,240,0.9677,17.98,30.36,0.5922,0.5922
1669,苏州,超市便利店,超市,,196,292,0.6712,15.46,25.81,0.599,0.5990
1569,珠海,美食,休闲食品,生鲜水果,208,280,0.7429,41.6,68.55,0.6069,0.6069
986,株洲,超市便利店,超市,,225,263,0.8555,14.52,23.92,0.607,0.6070
1822,广州,美食,快餐,中式快餐,216,272,0.7941,14.69,24.07,0.6103,0.6103
206,南宁,美食,中餐,粤菜,230,258,0.8915,10.89,17.8,0.6118,0.6118
471,南京,美食,休闲食品,美食特产,172,316,0.5443,12.31,20.07,0.6134,0.6134
478,深圳,美食,休闲食品,生鲜水果,211,277,0.7617,34.54,56.21,0.6145,0.6145
721,南昌,美食,休闲食品,其它休闲食品,195,293,0.6655,34.22,55.3,0.6188,0.6188
367,上海,医疗健康,药店,,226,262,0.8626,10.53,16.9,0.6231,0.6231
297,长沙,美食,休闲食品,生鲜水果,246,242,0.9837,28.77,46.11,0.6239,0.6239
1926,深圳,美食,中餐,粤菜,211,277,0.7617,57.15,91.3,0.626,0.6260
525,广州,美食,休闲食品,生鲜水果,216,272,0.7941,51.15,81.23,0.6297,0.6297
165,南京,美食,休闲茶饮,饮品/甜点,172,316,0.5443,12.26,19.46,0.63,0.6300
796,广州,美食,休闲茶饮,奶茶,216,272,0.7941,13.61,21.6,0.6301,0.6301
940,上海,超市便利店,超市,,226,262,0.8626,15.06,23.73,0.6346,0.6346
1900,青岛,超市便利店,便利店,,105,383,0.2742,24.06,37.73,0.6377,0.6377
1384,武汉,美食,快餐,其它快餐,195,293,0.6655,7.68,12.03,0.6384,0.6384
473,北京,美食,快餐,中式快餐,115,373,0.3083,30.43,47.65,0.6386,0.6386
1562,苏州,美食,休闲食品,零食,196,292,0.6712,8.87,13.85,0.6404,0.6404
244,广州,美食,休闲茶饮,奶茶,216,272,0.7941,30.5,47.44,0.6429,0.6429
336,上海,美食,火锅,其它火锅,226,262,0.8626,35.47,55.1,0.6437,0.6437
1431,北京,美食,烘焙糕点,面包,115,373,0.3083,76.47,118.41,0.6458,0.6458
698,上海,超市便利店,超市,,226,262,0.8626,9.48,14.64,0.6475,0.6475
