1.1803,0.9741,0.9163,1.0051,1.0404,1.1184,1.2856,1.0037,1.1033
0.3296,0.3665,1.2049,1.1929,0.9558,0.9722,1.4863,1.1598,0.7002
0.0000,0.0000,0.0000,0.0000,0.0000,1.0709,1.0299,0.9257,1.0822
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0646,1.0737,0.9333
0.0000,999.0000,2.5704,1293.0000,0.9823,0.0039,0.0000,999.0000,0.8482
2.3141,1.0537,0.8681,0.8219,0.8234,1.0859,0.4226,1.2000,1.0599
1.4342,0.6926,1.0221,0.9948,1.0108,1.0968,1.6079,0.7770,1.2290
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,999.0000,0.8178,1.1249
0.6664,0.9502,1.0218,0.9237,0.9947,1.0816,1.0193,0.9246,0.9091
0.0000,0.0000,0.0000,0.0000,0.0000,999.0000,1.5833,1.7905,0.9173
0.6088,0.6941,0.9595,1.1482,1.1186,0.9498,0.8455,0.9733,0.7965
999.0000,0.9789,1.1987,0.6746,0.7882,0.9032,1.0536,1.0276,0.9044
0.0000,0.0000,42.1364,0.9377,1.2179,1.1557,1.2079,0.6096,0.9685
0.7022,1.1079,0.8253,0.8434,0.6775,0.6603,1.3318,1.2562,0.8056
0.0000,0.0000,0.0000,0.0000,0.0000,999.0000,1.2382,1.3363,1.0466
1.4198,0.6619,3.6810,1.4916,1.4104,0.3716,0.4874,1.2865,0.9465
1.0200,0.7520,0.9716,1.0109,0.8260,0.9628,1.4167,1.0151,0.8130
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,999.0000,1.3142,0.8299
0.8438,0.9761,0.6626,1.0460,0.9573,0.9970,1.1143,0.9832,0.9577
0.0000,0.0000,999.0000,1.0724,0.9484,1.2054,1.2659,0.8340,0.9443
1.2665,1.5850,0.8087,1.0032,1.0331,1.0804,0.6259,1.0552,1.1418
0.3868,1.7965,1.2081,1.0435,0.8321,0.6387,0.8920,1.4393,0.9205
0.4810,0.9724,0.8040,0.8837,0.8560,1.0443,1.1095,0.9675,0.0771
0.0000,1.8782,1.0302,0.6864,1.1745,1.1080,0.8201,0.8099,1.2579
1.2840,0.6000,0.9388,1.1035,0.9314,0.9735,1.9411,0.9236,1.0019
0.5354,0.9448,0.9578,1.2600,1.1105,1.0807,1.0224,0.6665,1.3237
0.2760,1.1569,0.8330,0.9237,1.0612,1.0212,1.0721,1.0472,0.8716
1.5269,0.6482,1.1273,1.1655,0.8376,0.8917,1.7460,0.0000,6.9277
0.1716,2.0335,0.7708,1.0107,0.9332,0.9340,1.1674,0.7295,0.9624
0.0000,999.0000,1.0772,0.8965,1.1366,0.9150,0.2292,0.9107,1.2635
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1387,0.9939,0.9151
0.4079,1.0410,0.9249,0.9668,0.9086,1.0313,0.9632,0.7610,0.6740
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,999.0000,2.0281,1.1335
0.4509,3.5746,0.8448,1.0562,0.8935,0.9320,1.0114,1.0604,1.0215
0.6481,1.0334,1.2457,1.2419,1.0620,0.9996,0.9946,0.8937,1.0712
