id,end_bigger,end_smaller,end_equal
0.41,0.21,0.38
0.39,0.24,0.37
0.34,0.27,0.38
0.37,0.22,0.41
0.15,0.44,0.42
0.45,0.1,0.45
0.38,0.22,0.4
0.49,0.16,0.35
0.48,0.2,0.32
0.48,0.21,0.31
0.51,0.19,0.3
0.54,0.18,0.27
0.41,0.33,0.26
0.53,0.21,0.26
0.5,0.24,0.26
0.49,0.27,0.25
0.46,0.31,0.24
0.51,0.26,0.22
0.52,0.27,0.21
0.54,0.27,0.19
0.52,0.3,0.18
0.56,0.27,0.16
0.3,0.54,0.15
0.58,0.29,0.13
0.6,0.3,0.11
0.53,0.38,0.1
0.53,0.38,0.09
0.57,0.34,0.09
0.58,0.34,0.09
0.55,0.37,0.08
0.59,0.34,0.07
0.58,0.35,0.07
0.57,0.36,0.07
0.59,0.36,0.05
0.6,0.36,0.05
0.63,0.36,0.01
0.52,0.47,0.02
0.72,0.27,0.01
0.53,0.46,0.01
0.52,0.48,0.0
0.7,0.3,0.0
0.69,0.31,0.0
0.66,0.34,0.0
