1,多云,小雨,阴,小雨,小雨,多云,阴,阴,阵雨,阵雨,阵雨,大雨,小雨,阴,小雨,阵雨,阵雨,阵雨,小雨,多云,小雨,多云,多云,晴,晴,晴,晴,小雨,小雨,阴,阴,晴,多云,多云,阴
2,晴,晴,晴,晴,雾,阵雨,多云,晴,阵雨,晴,雨夹雪,晴,晴,晴,阵雨,晴,晴,晴,晴,阵雪,多云,晴,多云,晴,阵雪,霾,霾,阵雪,晴,晴,雨夹雪,中雪,晴,雨夹雪,多云
3,多云,阴,阴,多云,多云,晴,阴,阵雨,阵雨,多云,阴,小雨,多云,阴,阵雨,阴,晴,阵雨,小雨,阴,小雨,阴,晴,晴,晴,晴,多云,中雨,阴,小到中雨,多云,晴,阴,小雨,阴
4,晴,多云,晴,多云,小雨,多云,晴,多云,霾,阴,小雨,阴,多云,小雨,多云,多云,小雨,晴,晴,阴,晴,多云,晴,晴,霾,雾,多云,多云,晴,多云,阴,多云,晴,霾,晴
5,阴,多云,多云,小雨,小雨,小雨,小雨,小雨,小雨,阵雨,小雨,暴雨,阵雨,阴,阴,阵雨,阵雨,阵雨,小雨,多云,小雨,阴,多云,晴,晴,晴,多云,小雨,小雨,小雨,多云,晴,小雨,小雨,小雨
6,晴,晴,多云,晴,多云,阵雨,晴,晴,晴,晴,多云,多云,多云,小雨,晴,多云,小雨,多云,晴,阵雨,多云,晴,多云,晴,晴,晴,晴,雨夹雪,晴,晴,小雨,晴,晴,晴,晴
7,阴,阴,阴,小雨,阵雨,阴,阵雨,小雨,阵雨,阵雨,阵雨,暴雨,小雨,阴,阴,小雨,阴,小雨,阵雨,阴,阵雨,阴,多云,多云,晴,晴,多云,阵雨,阵雨,阵雨,多云,晴,阵雨,阴,小雨
8,阴,多云,多云,小雨,小雨,小雨,小雨,小雨,小雨,阵雨,小雨,暴雨,阵雨,阴,阴,阵雨,阵雨,阵雨,小雨,多云,小雨,阴,多云,晴,晴,晴,多云,小雨,小雨,小雨,多云,晴,小雨,小雨,小雨
9,阴,多云,多云,小雨,小雨,小雨,小雨,小雨,小雨,阵雨,小雨,暴雨,阵雨,阴,阴,阵雨,阵雨,阵雨,小雨,多云,小雨,阴,多云,晴,晴,晴,多云,小雨,小雨,小雨,多云,晴,小雨,小雨,小雨
10,阴,阴,小雨,阴,小雨,多云,多云,多云,小雨,小雨,小雨,小雨,小雨,小雨,中雨,小雨,小雨,中雨,小雨,小雨,阴,阴,晴,晴,晴,晴,多云,中雨,阴,小雨,晴,晴,晴,多云,多云
11,阴,阴,阴,小雨,阴,阴,阴,阴,小雨,阵雨,中雨,大雨,阴,阴,阴,大雨,阵雨,小雨,阴,阴,小雨,多云,晴,晴,晴,晴,多云,小雨,小雨,阴,小雨,晴,多云,小雨,阴
12,阴,阴,多云,小雨,阴,阵雨,多云,阴,阵雨,阵雨,阵雨,大雨,阵雨,阴,阴,阵雨,阴,小雨,小雨,多云,小雨,小雨,多云,晴,晴,晴,多云,小雨,小雨,小雨,多云,晴,阴,小雨,小雨
13,阴,多云,多云,小雨,小雨,小雨,小雨,小雨,小雨,阵雨,小雨,暴雨,阵雨,阴,阴,阵雨,阵雨,阵雨,小雨,多云,小雨,阴,多云,晴,晴,晴,多云,小雨,小雨,小雨,多云,晴,小雨,小雨,小雨
14,阴,阵雨,多云,多云,多云,多云,多云,中雨,阵雨,阵雨,暴雨,阵雨,多云,阵雨,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,晴,多云,多云,多云,小雨,多云,多云,多云,多云
15,阴,小雨,阴,小雨,阴,阴,晴,晴,多云,阴,小雨,小雨,阴,阵雨,小雨,小雨,中雨,阴,晴,多云,晴,多云,多云,霾,霾,霾,小雨,阴,阴,阴,晴,晴,多云,霾,霾
16,阴,阴,小雨,多云,多云,多云,多云,多云,小雨,小雨,小雨,小雨,阴,小雨,小雨,小雨,小雨,小雨,小雨,小雨,小雨,阴,晴,晴,晴,晴,多云,中雨,小雨,小雨,晴,晴,晴,多云,多云
17,阵雨,多云,多云,多云,多云,多云,多云,阵雨,阴,阵雨,中雨,阴,阵雨,阵雨,阴,晴,晴,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,阵雨,阴,阵雨,多云,多云,多云,多云
18,阵雨,阴,多云,晴,阴,阴,小雨,小雨,阵雨,阵雨,小到中雨,阵雨,阵雨,小雨,多云,多云,晴,多云,阴,阴,多云,阴,多云,多云,阴,多云,多云,阴,阵雨,小雨,多云,多云,阴,多云,多云
19,阴,阴,阴,小雨,阴,阴,阴,阴,小雨,阵雨,中雨,大雨,阴,阴,阴,大雨,阵雨,小雨,阴,阴,小雨,多云,晴,晴,晴,晴,多云,小雨,小雨,阴,小雨,晴,多云,小雨,阴
20,小雨,小到中雨,多云,多云,多云,晴,多云,大雨,阵雨,多云,暴雨,多云,多云,多云,多云,晴,晴,晴,多云,晴,多云,多云,多云,多云,晴,晴,晴,多云,多云,阴,小雨,阴,阴,多云,多云
21,阴,阴,阴,小雨,阴,阴,阴,阴,小雨,阵雨,中雨,大雨,阴,阴,阴,大雨,阵雨,小雨,阴,阴,小雨,多云,晴,晴,晴,晴,多云,小雨,小雨,阴,小雨,晴,多云,小雨,阴
22,小雨,小雨,小雨,小雨,小雨,小雨,阴,阴,多云,阴,多云,阴,小雨,小雨,小雨,小雨,小雨,阴,小雨,阴,阴,阴,阴,多云,多云,阴,阴,小雨,小雨,小雨,多云,多云,阴,阴,阴
23,多云,多云,多云,晴,多云,阵雨,多云,晴,晴,多云,阵雨,阴,阵雨,小雨,多云,阵雨,多云,阴,多云,晴,阴,晴,晴,晴,晴,晴,多云,小雨,多云,多云,阴,晴,晴,晴,雾
24,阵雨,阴,多云,多云,阵雨,阵雨,阴,阵雨,阵雨,中雨,大雨,中雨,阴,阴,多云,多云,多云,阵雨,小雨,多云,多云,阴,多云,多云,晴,晴,多云,阴,小雨,小雨,多云,多云,小雨,阴,小雨
25,多云,多云,多云,多云,多云,阵雨,小雨,多云,多云,晴,晴,晴,晴,晴,阵雨,阵雨,阵雨,阵雨,中雨,中雨,中雨,小雨,阴,小雨,多云,晴,晴,阵雨,小雨,小雨,多云,多云,晴,晴,晴
26,阵雨,多云,多云,多云,多云,多云,多云,阵雨,阴,阵雨,中雨,阴,阵雨,阵雨,阴,晴,晴,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,阵雨,阴,阵雨,多云,多云,多云,多云
27,晴,多云,晴,晴,小到中雨,阴,多云,霾,多云,多云,小雨,小雨,小雨,小雨,多云,阴,小雨,多云,晴,晴,阴,晴,多云,晴,晴,晴,多云,小雨,晴,晴,晴,晴,晴,霾,霾
28,阴,阴,多云,多云,阴,阴,阴,阵雨,阴,阴,中雨,多云,阵雨,阵雨,多云,多云,多云,多云,阴,多云,多云,阴,多云,多云,多云,晴,多云,多云,阵雨,多云,多云,晴,阴,多云,多云
