1,250,186,218,243,232,261,200,250,186,218,243,232,261,200
2,90,98,75,82,119,128,87,90,98,75,82,119,128,87
3,68,65,74,97,115,111,59,68,65,74,97,115,111,59
4,89,109,59,99,204,207,95,89,109,59,99,204,207,95
5,351,244,129,220,194,216,234,351,244,129,220,194,216,234
6,97,100,100,119,100,103,93,97,100,100,119,100,103,93
7,117,102,114,131,162,186,109,117,102,114,131,162,186,109
8,62,61,71,47,75,84,54,62,61,71,47,75,84,54
9,199,204,227,204,253,294,234,199,204,227,204,253,294,234
10,88,124,86,84,91,104,90,88,124,86,84,91,104,90
11,98,94,84,84,63,70,96,98,94,84,84,63,70,96
12,42,54,53,65,76,83,49,42,54,53,65,76,83,49
13,251,242,236,246,221,246,254,251,242,236,246,221,246,254
14,56,57,51,42,63,51,60,56,57,51,42,63,51,60
15,118,122,127,144,186,204,128,118,122,127,144,186,204,128
16,47,41,42,56,47,50,36,47,41,42,56,47,50,36
17,84,81,82,92,126,109,82,84,81,82,92,126,109,82
18,71,76,57,72,127,105,92,71,76,57,72,127,105,92
19,150,124,151,133,170,239,153,150,124,151,133,170,239,153
20,163,146,157,145,136,129,163,163,146,157,145,136,129,163
21,67,72,72,84,134,125,81,67,72,72,84,134,125,81
22,95,112,100,124,125,121,107,95,112,100,124,125,121,107
23,20,12,9,31,24,22,62,20,12,9,31,24,22,62
24,66,67,54,95,141,150,61,66,67,54,95,141,150,61
25,115,109,108,142,149,131,111,115,109,108,142,149,131,111
26,56,67,68,58,136,144,57,56,67,68,58,136,144,57
27,78,82,87,82,90,88,90,78,82,87,82,90,88,90
28,65,54,56,80,89,98,59,65,54,56,80,89,98,59
29,82,85,93,121,199,192,103,82,85,93,121,199,192,103
30,32,45,43,50,50,59,46,32,45,43,50,50,59,46
31,304,355,224,298,579,542,319,304,355,224,298,579,542,319
32,402,453,426,433,170,94,436,402,453,426,433,170,94,436
33,61,64,59,62,113,88,57,61,64,59,62,113,88,57
34,354,351,323,442,553,470,365,354,351,323,442,553,470,365
35,125,126,303,117,187,203,105,125,126,303,117,187,203,105
36,61,71,68,57,67,83,56,61,71,68,57,67,83,56
37,213,202,205,210,255,327,183,213,202,205,210,255,327,183
38,108,101,107,92,62,61,106,108,101,107,92,62,61,106
